date,pancakeswap,curve,makerdao,uniswap,Compound,AAVE,sushiswap,anchor
2022-03-16,4458907703.155186,17785458448.702663,15173831881.011889,6801334790.620332,6540413850.609758,11547496536.761526,3478620791.853077,13023631970.931282
2022-03-17,4538498304.594375,18089597632.99622,15666520963.43995,7059810858.830397,6840518958.521778,12067389151.546124,3571088220.9084706,13165830329.296528
2022-03-18,4585289706.569555,18378914383.71672,15810922757.251085,7097694349.658506,6829477961.89146,12227958453.886982,3586741311.096126,13225241917.713135
2022-03-19,4608723580.020234,18561934919.510788,16366770727.371056,7272803990.512558,7028968710.713597,12752094385.907457,3701079652.599159,13788193944.569178
2022-03-20,4521589871.9534,18488480981.06991,16327180021.733994,7328986214.554836,6902355750.711519,12927119717.074787,3660221139.5465393,13959513252.251884
2022-03-21,4541134073.010357,18297300903.447544,16118664464.284811,7234894333.081299,6793210706.501746,12737109289.936241,3594472524.712101,13964261473.0919
2022-03-22,4633027118.723794,19971794578.217102,16193969169.30828,7244387561.291798,6799433649.830042,12777722905.448704,3646327983.571741,14239937907.874552
2022-03-23,4702746822.453955,20369705065.56925,16451172218.39711,7478393392.433249,6846989056.60741,12925105814.497265,3695069677.4996166,14308619088.521992
2022-03-24,4791056540.044895,20451454427.02354,16670408298.520155,7532644960.277858,6940258399.149483,13019409054.234505,3737224696.0073667,14491725349.106592
2022-03-25,4779532335.755856,20200372402.341557,16769779522.743626,7433462555.715807,7021772332.77007,13154702197.335938,3737224696.0073667,14457656222.889917
2022-03-26,4853078598.853748,19932947733.847008,16654098918.789804,7411564981.971764,6881839735.848171,12901333584.375128,3737224696.0073667,14233529507.104647
2022-03-27,4976482066.147119,20097872052.39309,16762460549.235716,7485636043.583047,6916215265.357915,13045200708.827427,3737224696.0073667,14396092814.977385
2022-03-28,4989489590.780515,20401155982.816875,17247576973.044792,7731070556.491359,7177428462.895285,13517560395.629675,3737224696.0073667,14555811790.893421
2022-03-29,5061752416.903383,20408734591.73854,17275060774.325775,7776782826.107329,7205051683.230247,13741515250.638584,3737224696.0073667,14745298765.835423
2022-03-30,5161936418.257407,20750536564.8463,17392373151.90689,7797087871.041661,7062962324.355657,13992329254.06313,3737224696.0073667,15286183456.577587
2022-03-31,5037136189.454114,21009165365.966125,17448229800.166065,7929762011.512739,6962343722.432167,14122300802.180265,3737224696.0073667,15189624402.831518
